#prog_id;prog_name;prog_desc;deg_id;sp_id
2;2D Animation and Games;The certificate in 2D Animation and Games prepares the student for entry-level positions in the fast-growing gaming and animation industry. The certificate develops within the sudent a dynamic, multidisciplinary skill set which fosters growth in both the visual arts and coding for games. The new media labs housed within the Multimedia Studies program are equipped with state-of-the-art computers, software, and monitors which allow the student to experience the tools that professional animators and game designers are using today.;2;737
3;Graphic Design;This program meets the lower division major preparation for a similar major at CSU, Chico. Visit website for details www.assist.org;3;737
4;Graphic Design for Print;In the Graphic Design program, students receive hands-on training in many areas of the visual communications field. Butte College offers a complete design and computer lab to aid in the development of job-related skills and techniques. Many of the instructors are working professionals who take time from their careers to teach. Their awareness of the demands of business and industry brings knowledge to the classroom of what is happening now in the field as well as future trends. The goal of the Butte College Graphic Design program is to prepare students for entry level positions. Students who successfully complete the program and plan to earn a four-year degree will have a solid foundation for application to the design school of their choice.The field of graphic design offers many opportunities and options for the creative individual who has worked hard to develop the necessary skills and techniques. Upon completion of the program the student will have a working familiarity with most aspects of these rapidly growing fields. The department highly recommends that the student entering the second year of the Graphic Design program have access outside of school to a computer with the Adobe Suite software.;4;737
5;Multimedia Studies;Multimedia Studies is a comprehensive program that recognizes the need to prepare the student for the world of work in today's high performance organization. This program delivers a dynamic, multidisciplinary, interactive, project-based curriculum designed to foster creativity, teamwork, and professionalism. While providing laboratory experiences for the development of skills in multimedia and related technical areas, the student will also develop competencies in workforce preparation, such as in portfolio development, communications, and high performance organization workplace skills. The Multimedia Studies Program New Media Lab is a state-of-the-art Macintosh-based multimedia lab equipped with industry standard computer and state-of-the-art multimedia applications. Students build a strong foundation of skills and knowledge graphic design, video, multimedia and animation, idea presentation, portfolio development, and an overview of the opportunities in Multimedia.All areas of the multimedia industry are experiencing unprecedented growth in order to meet the industry's needs. There is a constant demand for highly skilled, qualified, and knowledgeable workers, and the rapidly expanding growth of drone video and photography, and 3D printing technologies, is creating a need for workers with these skills.;4;737
6;Multimedia Studies;See AS Degree in Multimedia Studies.Gainful Employment InformationCertificate of Achievement in Multimedia Studies:www.butte.edu/curriculum/gainful-employment/0958200CA.html;6;737
7;3D Mechanical Applications;Error;2;716
8;Architectural Drafting and Modeling;Error;2;716
9;Drafting and CAD Technology;See AS Degree in Drafting and CAD TechnologyGainful Employment InformationCertificate of Achievement in Drafting and CAD Technology:www.butte.edu/curriculum/gainful-employment/0132400CA.html;6;716
10;Drafting and CAD Technology;The Drafting and CAD Technology program is designed to prepare students to meet the drafting requirements of industry. The diversity of the program allows students to pursue a career with a variety of companies that employ drafters. The program can be arranged to earn either a Certificate of Achievement or an AS degree.In CAD and solids modeling, students will discover real-world connections for their interests in math and science, and through hands-on activities improve their skills and become more confident. A year or more of high school drafting is very beneficial. Students need to be neat, methodical, and have an aptitude for spatial thinking. Students who are still enrolled in high school and who are considering a career as a drafter are encouraged to take courses in trigonometry, physical science, and computer science. Students who complete this program will be able to prepare drawings for individuals and companies in the architectural, civil engineering, construction, and manufacturing technology fields. Students will gain extensive experience using computer aided drafting (CAD) techniques. Students will also have experience reading construction drawings and interpreting specifications.;4;716
11;Account Clerk;See AS Degree in Accounting.;2;699
12;Accounting;Students planning an accounting career should be detail-oriented, be able to analyze and interpret facts and figures quickly and accurately, and make sound decisions. They must also be able to communicate the results. Patience, persistence, self-discipline, and concentration are essential. High school students considering an accounting career are encouraged to take English, mathematics, computer, accounting, and related business courses.The Accounting program is designed to enable students to: set up, complete, adjust, and summarize records of business activities according to accepted accounting principles and techniques, use accounting information to enhance business planning, decision making, problem solving, and management control, and apply both financial and managerial accounting principles and techniques.  Accounting employment opportunities are expected to increase faster than for many other occupations due to pressure on business and governmental agencies to improve their financial accountability. Demand for skilled accountants will rise as managers rely more on accounting information to make decisions. Knowledge of basic computer applications is essential.;4;699
13;Accounting;See AS Degree in Accounting.Gainful Employment InformationCertificate of Achievement in Accounting:www.butte.edu/curriculum/gainful-employment/0130800CA.html;6;699
14;Tax Preparer;The requirements for becoming a licensed tax preparer and the rules and regulations governing licensed tax preparers are reviewed. Students planning an accounting career should be detail-oriented, be able to analyze and interpret facts and figures quickly and accurately, and make sound decisions. They must also be able to communicate the results. Patience, persistence, self-discipline, and concentration are essential.Students who complete this certificate are eligible to assist tax professionals in an accounting office, a financial institution, an enrolled agent's office, the Internal Revenue Service, the California State Franchise Tax Board, or a state licensed tax preparer's office.;2;699
15;Acute Care Nurse Assistant;Error;2;740
16;Certified Nursing Assistant;The Certified Nursing Assistant/Home Health Aide program is designed to prepare students for state certification as a Nursing Assistant. Successful completion of the program makes students eligible to take the written and manual skills test for state certification. The rapidly growing need for skilled health personnel provides good employment opportunities for Certified Nursing Assistants and Home Health Aides. Positions are found in general and convalescent hospitals, physicans' offices, private homes, community health agencies and in industry.;2;740
17;Home Health Aide;Error;2;740
18;Licensed Vocational Nursing;See AS Degree in Licensed Vocational Nursing.Gainful Employment InformationCertificate of Achievement in Licensed Vocational Nursing:www.butte.edu/curriculum/gainful-employment/0134000CA.html;6;740
19;Licensed Vocational Nursing;The Licensed Vocational Nursing program is a state approved vocational program which provides the curriculum necessary for an individual to qualify for the state board examination for licensure as a vocational nurse. The curriculum includes prerequisite courses and the equivalent of three academic semesters of nursing theory and supervised clinical experiences. The primary role of the licensed vocational nurse is to provide bedside nursing in a variety of clinical settings. The student will study common medical-surgical conditions, their origin, prevention and treatment emphasizing the related nursing care. To help the student provide individualized nursing care, other courses provide basic psychology and sociology concepts relevant to the development, motivation and reactions of people healthy and ill.The rapidly growing need for skilled health personnel provides good employment opportunities for the Licensed Vocational Nurse. Positions are found in general and convalescent hospitals, physicians' offices, private homes, community health agencies and in industry.;4;740
20;Registered Nursing;The two-year traditional Registered Nursing Associate Degree program prepares the student for licensure as an RN at the Associate Degree Nursing (ADN) level. The four-semester program provides theory and clinical content required for registered nursing licensure. Upon completion of the degree, the student will be eligible for the national/state licensure examination for registered nursing.A registered nurse can seek employment in a variety of settings: acute care hospital, community/home health care, skilled and long term care, clinics, physician offices, and any number of private industries that interface with health care delivery. A national shortage of registered nurses is predicted for the next two decades.;4;740
