AB 20,Identify career opportunities in agriculture_ environmental science_ and natural resources.
AB 20,Define their career goals and create an educational plan to achieve these goals.
AB 20,Prepare an effective resume and cover letter and demonstrate effective job interviewing skills.
AB 22,Compare and contrast the role of agriculture in the economic structure of the state_ country and world.
AB 22,Define economic terms.
AB 22,Analyze market conditions and predict price.
AB 22,Compare and contrast different economic systems.
AB 22,Define the laws of supply and demand.
AB 22,Construct and analyze graphs that utilize cost/revenue data to maximize profitability.
AB 22,Graph and analyze production functions and identify the three stages of production.
AB 25,Create a business document utilizing a common word processor.
AB 25,Create a multimedia presentation utilizing presentation software.
AB 25,Construct financial documents using an electronic spreadsheet.
AB 25,Manage data using database functions.
AB 25,Utilize the Internet to access agricultural information.
AB 25,Complete specific agricultural projects that demonstrate the ability to identify and solve problems using computers.
AB 25,Evaluate the criteria for selecting computer hardware and software appropriate to agricultural business applications.
AB 26,Explain how economic principles relate to commodity marketing sub sectors in agriculture.
AB 26,Recognize and describe agricultural business organizational structures including; sole proprietorships_ partnerships_ corporations_ franchises_ and cooperatives.
AB 26,Identify and explain the four functions of management and how they relate to the agribusiness organization.
AB 26,Develop an awareness of the basic laws_ regulations_ and regulatory agencies that interact with the agriculture community.
AB 26,Describe various styles of leadership.
AB 26,Identify the role of the agricultural manager.
AB 26,Recognize_ evaluate_ and propose solutions to problems in personnel_ ethics and communication.
AB 50,Define the uses of agricultural records.
AB 50,Explain the accounting cycle.
AB 50,Define common agricultural accounting terms.
AB 50,Differentiate between cash and accrual accounting systems.
AB 50,Design a chart of accounts for an agricultural business. Demonstrate the principles of accrual accounting by opening_ entering transactions_ and closing a set of accounting records.
AB 50,Create a balance sheet and income statement.
AB 50,Calculate and analyze ratios of solvency and liquidity for an agricultural business.
AB 50,Properly value asset and liability accounts.
AB 54,Identify and describe the regulatory requirements relevant to labor management in agriculture_ including farm worker safety training and documentation_ migrant labor documentation requirements_ and pesticide use in the workplace.
AB 54,Analyze the legal requirements for agricultural employers that have been established by the Agricultural Labor Relations Board.
AB 54,Identify and describe the characteristics of an effective supervisor in an agricultural business.
AB 54,Communicate effectively with native and non-native English speakers.
ACCT 2,Explain the nature and purpose of generally accepted accounting principles (GAAP) and International Financial Reporting Standards (IFRS).
ACCT 2,Explain and apply the components of the conceptual framework for financial accounting and reporting_ including the qualitative characteristics of accounting information_ the assumptions underlying accounting_ the basic principles of financial accounting_ and the constraints and limitations on accounting information.
ACCT 2,Define and use accounting and business terminology.
ACCT 2,Explain what a system is and how an accounting system is designed to satisfy the needs of specific businesses and users; summarize the purpose of journals and ledgers.
ACCT 2,Apply transaction analysis_ input transactions into the accounting system_ process this input_ and prepare and interpret the four basic financial statements.
ACCT 2,Distinguish between cash basis and accrual basis accounting and their impact on the financial statements_ including the revenue recognition and matching principles.
ACCT 2,Identify and illustrate how the principles of internal control are used to manage and control the firm's resources and minimize risk.
ACCT 2,Explain the content_ form_ and purpose of the basic financial statements (including footnotes) and the annual report_ and how they satisfy the information needs of investors_ creditors_ and other users.
ACCT 2,Explain the nature of current assets and related issues_ including the measurement and reporting of cash and cash equivalents_ receivables and bad debts_ and inventory and cost of goods sold.
ACCT 2,Explain the valuation and reporting of current liabilities_ estimated liabilities and other contingencies.
ACCT 2,Identify and illustrate issues relating to long-term asset acquisition_ use_ cost allocation_ and disposal.
ACCT 2,Distinguish between capital and revenue expenditures.
ACCT 2,Identify and illustrate issues relating to long-term liabilities_ including issuance_ valuation_ and retirement of debt (including the time value of money).
ACCT 2,Identify and illustrate issues relating to stockholders' equity_ including issuance_ repurchase of capital stock_ and dividends.
ACCT 2,Explain the importance of operating_ investing and financing activities reported in the Statement of Cash Flows.
ACCT 2,Interpret company activity_ profitability_ liquidity and solvency through selection and CHECK_FOR_ERROR
ACCT 128,Create and describe the components of basic accounting statements.
ACCT 128,Implement procedures to successfully manage cash_ accounts receivable and accounts payable.
ACCT 128,Complete a set of accounts receivable and accounts payable records by hand and in QuickBooks.
ACCT 20,Identify and define basic accounting terminology_ principles and practices
ACCT 20,Analyze_ journalize_ and post business transactions
ACCT 20,Prepare financial statements including income statement_ statement of owner's equity_ and balance sheet.
ACCT 20,Reconcile a bank account by identifying and accounting for differences between the bank statement's cash balance and the general ledger's cash balance.
ACCT 20,Calculate a payroll check and describe associated employee and employer payroll obligations
ACCT 30,Analyze_ organize_ and present financial data in accordance with generally accepted accounting principles.
ACCT 30,Prepare accurate and ethical financial statements.
ACCT 30,Demonstrate appropriate written calculations and documentation to support journal entries_ general ledger_ financial statements and business decisions.
ACCT 30,Find and revise accounting errors and make appropriate adjustments when accounting changes occur.
ACCT 30,Work independently and develop appropriate problem solving skills.
ACCT 30,Demonstrate good work habits necessary to succeed in the field of accounting and become employable.
ACCT 97,Develop a set of research notes based on personal observations_ readings_ discussions and media presentations. Notes must be orderly_ legible and meaningful for future reference_ and include analytical questions.
ACCT 97,Produce a summary research report with supporting notes that is orderly_ legible and meaningful for future reference; including an index and bibliography.
ACCT 97,Draw from their notes sufficient data as to be able to write a logically ordered analytical essay of ,at least 1_500 words in a proper research-paper form_ on a chosen topic that is pertinent to the special study theme
ACCT 99,Identify CWE objectives that are unique to each student and employment situation in consultation with their employer and CWE instructor prior to enrollment.
ACCT 99,Describe the importance of on-the-job responsibilities.
ACCT 99,Identify the attitudes and knowledge elements necessary for success.
ACCT 100,Demonstrate proficiency with QuickBooks Pro software by recording various business transactions using QuickBooks Pro.
ACCT 100,Set up a new or existing business’ accounting records on QuickBooks Pro.
ACCT 100,Explain the underlying accounting concepts when recording transactions.
ACCT 100,Determine and produce the type of report or document needed for a business transaction.
ACCT 100,Analyze and adjust/correct data so that reports are accurate.
ACCT 100,Employ organizational skills to aid in the management of a small business.
ACCT 105,Prepare a moderately complex Internal Revenue Service Form 1040 and California Franchise Tax Board Form 540 and their associated and supporting forms.
ACCT 105,Calculate_ compare_ analyze and select the appropriate tax provision that would most benefit the taxpayer's circumstances.
ACCT 105,Plan and anticipate potential income tax consequences of financial events.
ACCT 105,Identify issues and potential tax liabilities or benefits.
ACCT 105,Locate and interpret various sources of technical income tax research data.
ACCT 110,Calculate gross employee earnings_ tax withholding_ other payroll deductions_ and net pay in accordance with relevant federal and state laws.
ACCT 110,Interpret_ develop_ and classify appropriate data to apply payroll principles.
ACCT 110,Create accurate_ complete California and federal schedules_ forms and supporting documents.
ACCT 110,Describe and apply employment laws that impact the payroll of a company.
AET 22,Explain terms and nomenclature pertaining to the tools_ materials and hardware associated with agricultural construction.
AET 22,Demonstrate the safe and proper usage of basic construction tools_ both power and hand.
AET 22,Perform fundamental and proper techniques of construction including concrete_ foundations_ carpentry_ plumbing and electrical.
AET 22,Prepare a simple three dimensional drawing and a cost estimate for a small building.
AET 22,Demonstrate safe work habits.
AET 26,Explain applications of surveying.
AET 26,Properly use and care for instruments and equipment.
AET 26,Conduct accurate field observations and keep complete field notes.
AET 26,Categorize and calculate required data accurately and completely.
AET 26,Create a contour map.
